MAL_ID,Synopsis
220,daughter private trapped ski resort storm closes guests murdered investigator killer killer lot guests struggles killer guests start finger
221,baseball owner connections danger service agency bigger standing daughter girl mind loaded gun reputation cold killer strikes fear accomplish mission process
222,danger service agency brains bitter likes charge job involves lots danger money live eat dinner cross biggest prove finding
223,son boy lives woods girl runs search set called balls grant hopes gather perfect ball refuses deal tag borrow ball power set lifetime meet trains stronger artist arts fun games ability true powerful worse abuse legendary power train stronger strength people
225,finally hands black star balls searching powerful earth normal domination interrupted son result child granted black star balls earth brought pan adult sets universe black star balls save planet destruction
226,breed human referred born pair hands victim scientific government circumstances opportunity escape receives head injury leaves split mentality child limited speech capacity college students injured care change lives dragged government conspiracy
228,heard powerful access midnight allowing enter person straight girl judge chosen target deserves punishment exact girl swiftly carries tasks catch payment carrying request user condemn
229,normal school girl studying school suddenly interrupted girl training attempting complete complete steal attempt stealing unexpected friendship surrounded yellow claims master
230,skills life street fighting feel alive violence amazing power grace fights opponent opponent repeatedly talent earns
231,eyes brown light dark secret left eye target band combat appearing town training school supervision sister months training master
233,grade girl parents hired nasa america leaving decides trip india leaving son rise baby pet crashes house worse baby starts calling mom power floating
234,playing baseball game friends hits wild fly ball crashes principal plants mad principal swing golf golf eye pro enter play shot national
235,school student talent solved challenging day spots decides follow witness disturbing illegal activity caught experimental drug criminal organization leaving death lives day body child perfectly preserving original intelligence real identity including friend father private takes inspired mystery writers arthur doyle starts solving senior scenes skills investigating organization responsible current hoping reverse drug effects
236,powers rest sister protected organization called force intensive training visited hospital belongs organization condition improved amazing growth intensive training decides escape organization
237,town lives boy leave hoping mundane life stuck insistence pressure father excitement riding wave air activity unknown object crashes garage discovered light finding operation robot capable riding waves pilot girl requests tune meeting involvement takes pilot
238,people wishes family likes modern day sounds fun lots fights bold announcement defeat day meets girl ability wound injury meeting sets chain events discovery surviving legendary wiped centuries actual power control strange people
239,french albert attend festival carnival moon city fun albert seeking life count monte meets opera performance albert count french society count mind friendship finally earlier albert count ultimate price paid
241,age abused life school developed rare condition touch close breaks imagine surprise suddenly city earth vast women fortunately friend touch affect
242,smart enthusiastic ready start dream job teacher academy day students teachers boys school intention improving students acting head powerful skills prove capable strongest incredible strength criminal influence secret job vice principal constantly fired leader class stronger difficult teaching career
